"name","type","brand","model","specs"
"Gigabyte GA-Z270X-Ultra Gaming","Motherboard","Gigabyte","GA-Z270X-Ultra Gaming","Socket: LGA 1151, Chipset: Intel Z270"
"MSI Z270 Gaming Plus","Motherboard","MSI","Z270 Gaming Plus","Socket: LGA 1151, Chipset: Intel Z270"
"Asrock Fatal1ty H270 Performance","Motherboard","Asrock","Fatal1ty H270 Performance","Socket: LGA 1151, Chipset: Intel H270"
"Gigabyte Z370XP SLI","Motherboard","Gigabyte","Z370XP SLI","Socket: LGA 1151, Chipset: Intel Z370"
"Asus ROG Crosshair IV Formula","Motherboard","Asus","ROG Crosshair IV Formula","Socket: AM3, Chipset: AMD 890FX"
"Gigabyte B550 Aorus Master","Motherboard","Gigabyte","B550 Aorus Master","Socket: AM4, Chipset: AMD B550"
"Gigabyte GA-H110MSTX-HD3","Motherboard","Gigabyte","GA-H110MSTX-HD3","Socket: LGA 1151, Chipset: Intel H110"
"Asus ROG Maximus IV Extreme-Z","Motherboard","Asus","ROG Maximus IV Extreme-Z","Socket: LGA 1155, Chipset: Intel Z68"
"Asus ROG Maximus VII Gene","Motherboard","Asus","ROG Maximus VII Gene","Socket: LGA 1150, Chipset: Intel Z97"
"Asrock 970M Pro3","Motherboard","Asrock","970M Pro3","Socket: AM3+, Chipset: AMD 970"
"Asus EX-H110M-V","Motherboard","Asus","EX-H110M-V","Socket: LGA 1151, Chipset: Intel H110"
"MSI B350M Mortar","Motherboard","MSI","B350M Mortar","Socket: AM4, Chipset: AMD B350"
"Asus Z170-P","Motherboard","Asus","Z170-P","Socket: LGA 1151, Chipset: Intel Z170"
"Biostar A70MGP-LSP","Motherboard","Biostar","A70MGP-LSP","Socket: FM2+, Chipset: AMD A70M"
"Asus ROG Strix Z370-E Gaming","Motherboard","Asus","ROG Strix Z370-E Gaming","Socket: LGA 1151, Chipset: Intel Z370"
"Gigabyte GA-A320MA-M.2","Motherboard","Gigabyte","GA-A320MA-M.2","Socket: AM4, Chipset: AMD A320"
"Gigabyte GA-Z270-HD3P","Motherboard","Gigabyte","GA-Z270-HD3P","Socket: LGA 1151, Chipset: Intel Z270"
"Asus ROG Zenith Extreme","Motherboard","Asus","ROG Zenith Extreme","Socket: TR4, Chipset: AMD X399"
"Colorful Battle Axe C.A320M-D Plus V14","Motherboard","Colorful","Battle Axe C.A320M-D Plus V14","Socket: AM4, Chipset: AMD A320"
"Gigabyte GA-H170-D3H","Motherboard","Gigabyte","GA-H170-D3H","Socket: LGA 1151, Chipset: Intel H170"
"Asus ROG Maximus X Code","Motherboard","Asus","ROG Maximus X Code","Socket: LGA 1151, Chipset: Intel Z370"
"Gigabyte GA-Z270-Gaming 3","Motherboard","Gigabyte","GA-Z270-Gaming 3","Socket: LGA 1151, Chipset: Intel Z270"
"Asrock B365M Pro4","Motherboard","Asrock","B365M Pro4","Socket: LGA 1151, Chipset: Intel B365"
"Gigabyte GA-AX370-Gaming 5","Motherboard","Gigabyte","GA-AX370-Gaming 5","Socket: AM4, Chipset: AMD X370"
"Gigabyte GA-970A-D3 Rev. 3.0","Motherboard","Gigabyte","GA-970A-D3 Rev. 3.0","Socket: AM3+, Chipset: AMD 970"
"Asrock H110M-DGS R3.0","Motherboard","Asrock","H110M-DGS R3.0","Socket: LGA 1151, Chipset: Intel H110"
"MSI A320M Grenade","Motherboard","MSI","A320M Grenade","Socket: AM4, Chipset: AMD A320"
"Asus B150M-A D3","Motherboard","Asus","B150M-A D3","Socket: LGA 1151, Chipset: Intel B150"
"Asrock Fatal1ty Z270 Gaming K6","Motherboard","Asrock","Fatal1ty Z270 Gaming K6","Socket: LGA 1151, Chipset: Intel Z270"
"MSI A320M Gaming Pro","Motherboard","MSI","A320M Gaming Pro","Socket: AM4, Chipset: AMD A320"
"Gigabyte Z390 M Gaming","Motherboard","Gigabyte","Z390 M Gaming","Socket: LGA 1151, Chipset: Intel Z390"
"MSI B250M Pro-VH","Motherboard","MSI","B250M Pro-VH","Socket: LGA 1151, Chipset: Intel B250"
"Asrock Z97E-ITX/ac","Motherboard","Asrock","Z97E-ITX/ac","Socket: LGA 1150, Chipset: Intel Z97"
"MSI B250 PC Mate","Motherboard","MSI","B250 PC Mate","Socket: LGA 1151, Chipset: Intel B250"
"Gigabyte Z370 HD3P","Motherboard","Gigabyte","Z370 HD3P","Socket: LGA 1151, Chipset: Intel Z370"
"Biostar A68MD Pro Rev. 1.3","Motherboard","Biostar","A68MD Pro Rev. 1.3","Socket: FM2+, Chipset: AMD A70M"
"Asrock Z270 Killer SLI/ac","Motherboard","Asrock","Z270 Killer SLI/ac","Socket: LGA 1151, Chipset: Intel Z270"
"Gigabyte G1.Sniper Z170","Motherboard","Gigabyte","G1.Sniper Z170","Socket: LGA 1151, Chipset: Intel Z170"
"Gigabyte GA-B250M-Gaming 3","Motherboard","Gigabyte","GA-B250M-Gaming 3","Socket: LGA 1151, Chipset: Intel B250"
"Asus ROG Rampage III Extreme","Motherboard","Asus","ROG Rampage III Extreme","Socket: LGA 1366, Chipset: Intel X58"
"MSI A320M Pro-VH Plus","Motherboard","MSI","A320M Pro-VH Plus","Socket: AM4, Chipset: AMD A320"
"MSI B450M Mortar","Motherboard","MSI","B450M Mortar","Socket: AM4, Chipset: AMD B450"
"Asus TUF B450M-Pro Gaming","Motherboard","Asus","TUF B450M-Pro Gaming","Socket: AM4, Chipset: AMD B450"
"Asrock X370 Taichi","Motherboard","Asrock","X370 Taichi","Socket: AM4, Chipset: AMD X370"
"Gigabyte GA-Z270XP-SLI","Motherboard","Gigabyte","GA-Z270XP-SLI","Socket: LGA 1151, Chipset: Intel Z270"
"Gigabyte X570 Aorus Ultra","Motherboard","Gigabyte","X570 Aorus Ultra","Socket: AM4, Chipset: AMD X570"
